id,source,source_id,published_at,title,url,project_id,role,match_score,confidence,verdict,doc_type
1,boe,BOE-A-2019-11702,2019-08-08,"Resolución de 30 de julio de 2019, de la Dirección General de Biodiversidad y Calidad Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Instalación fotovoltaica Las Quinientas de 109,52 MWp en Jerez de la Frontera (Cádiz)"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2019-11702,1,dia,0.8,0.98,favorable_condicionada,dia
2,boe,BOE-A-2020-14181,2020-11-13,"Resolución de 4 de noviembre de 2020, de la Dirección General de Calidad y Evaluación Ambiental, por la que se modifica la de 30 de julio de 2019, de la Dirección General de Biodiversidad y Calidad Ambiental, por la que se formula declaración de impacto ambiental sobre el proyecto ""Planta solar fotovoltaica Las Quinientas de 109,5039 MW, Jerez de la Frontera (Cádiz)"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2020-14181,1,otro,0.8,1.0,no_aplica,otro
3,boe,BOE-A-2022-1048,2022-01-22,"Resolución de 14 de enero de 2022, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Parque solar fotovoltaico Guadacano, de 62 MWp/48 MWn, sito en los términos municipales de Archidona y Antequera (Málaga)"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2022-1048,3,dia,1.0,1.0,favorable_condicionada,dia
4,boe,BOE-A-2022-8050,2022-05-16,"Resolución de 6 de mayo de 2022, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Instalación fotovoltaica Dulcinea de 105 MWp y su infraestructura de evacuación, en Carmona (Sevilla)"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2022-8050,4,dia,0.8,0.98,favorable_condicionada,dia
5,boe,BOE-A-2022-8053,2022-05-16,"Resolución de 9 de mayo de 2022, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Planta fotovoltaica Hipódromo de 200 MWp y su infraestructura de evacuación, en Dos Hermanas (Sevilla)"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2022-8053,5,dia,1.0,0.98,favorable_condicionada,dia
6,boe,BOE-A-2022-8173,2022-05-18,"Corrección de erratas de la Resolución de 6 de mayo de 2022, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Instalación fotovoltaica Dulcinea de 105 MWp y su infraestructura de evacuación, en Carmona (Sevilla)"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2022-8173,4,dia,0.8,0.95,favorable_condicionada,dia
7,boe,BOE-A-2022-8441,2022-05-23,"Resolución de 12 de mayo de 2022, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Planta Solar Fotovoltaica Aljarafe, de 90,5 MWp, y su infraestructura de evacuación, en Salteras y Valencina de la Concepción (Sevilla)"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2022-8441,7,dia,1.0,1.0,favorable_condicionada,dia
8,boe,BOE-A-2022-8628,2022-05-26,"Resolución de 18 de mayo de 2022, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Parques solares fotovoltaicos Metaway I y Metaway II, de 116,5 MWp cada uno, y de su infraestructura de evacuación (Sevilla)"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2022-8628,8,dia,1.0,1.0,favorable_condicionada,dia
9,boe,BOE-A-2022-8701,2022-05-27,"Resolución de 18 de mayo de 2022, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Plantas solares fotovoltaicas Albornez Solar y Alisio Solar de 100 MWp, subestación transformadora “ST Doña María 132/30 kV” y Línea de Evacuación “L/132 kV Doña María-Promotores Guadame” en las provincias de Córdoba y Jaén”.",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2022-8701,9,dia,0.9375,1.0,favorable_condicionada,dia
10,boe,BOE-A-2022-11375,2022-07-08,"Resolución de 23 de junio de 2022, de la Dirección General de Calidad y Evaluación Ambiental, por la que se formula declaración de impacto ambiental del proyecto ""Parque solar fotovoltaico Lirios Solar PV, de 100 MWp, y de su infraestructura de evacuación, en la provincia de Huelva"".",https://www.boe.es/diario_boe/xml.php?id=BOE-A-2022-11375,10,dia,1.0,1.0,favorable_condicionada,dia
