ine_code,status,technology,project_count,mw_nominal,hectares,turbines,name,province
04016,favorable_condicionada,solar_fv,1,250.0,476.13,0,Antas,Almería
04060,favorable_condicionada,hibrida,1,169.125,202.69,52,Lucainena de las Torres,Almería
04066,favorable_condicionada,hibrida,1,169.125,202.69,52,Níjar,Almería
04082,favorable_condicionada,hibrida,1,169.125,202.69,52,Senés,Almería
04086,favorable_condicionada,hibrida,1,169.125,202.69,52,Sorbas,Almería
04088,favorable_condicionada,hibrida,1,169.125,202.69,52,Tabernas,Almería
04088,favorable_condicionada,solar_fv,1,99.85,203.25,0,Tabernas,Almería
04090,favorable_condicionada,hibrida,1,169.125,202.69,52,Tahal,Almería
11002,desfavorable,eolica,1,25.12,0.0,7,Alcalá del Valle,Cádiz
11002,favorable_condicionada,solar_fv,1,279.0,447.23,0,Alcalá del Valle,Cádiz
11013,favorable_condicionada,solar_fv,1,0.0,99.17,0,Castellar de la Frontera,Cádiz
11015,desfavorable,eolica,1,109.8,0.0,20,Chiclana de la Frontera,Cádiz
11020,desfavorable,hibrida,2,105.979996,42.44,5,Jerez de la Frontera,Cádiz
11020,favorable_condicionada,solar_fv,1,109.5039,358.61,0,Jerez de la Frontera,Cádiz
11021,desfavorable,eolica,1,216.6,0.0,38,Jimena de la Frontera,Cádiz
11021,desfavorable,solar_fv,1,801.0,1326.26,0,Jimena de la Frontera,Cádiz
11021,favorable_condicionada,solar_fv,1,0.0,99.17,0,Jimena de la Frontera,Cádiz
11027,desfavorable,hibrida,1,25.99,42.44,0,El Puerto de Santa María,Cádiz
11028,desconocido,almacenamiento,1,24.04,1.24,0,Puerto Real,Cádiz
11028,desfavorable,hibrida,1,79.99,0.0,5,Puerto Real,Cádiz
11033,desfavorable,eolica,1,216.6,0.0,38,San Roque,Cádiz
11034,desfavorable,eolica,1,25.12,0.0,7,Setenil de las Bodegas,Cádiz
11034,favorable_condicionada,solar_fv,1,279.0,447.23,0,Setenil de las Bodegas,Cádiz
11036,desfavorable,eolica,1,25.12,0.0,7,Torre Alháquime,Cádiz
11036,favorable_condicionada,solar_fv,1,279.0,447.23,0,Torre Alháquime,Cádiz
11903,desfavorable,eolica,1,216.6,0.0,38,San Martín del Tesorillo,Cádiz
11903,desfavorable,solar_fv,1,801.0,1326.26,0,San Martín del Tesorillo,Cádiz
14005,favorable_condicionada,solar_fv,1,0.0,97.0,0,Almodóvar del Río,Córdoba
14012,favorable_condicionada,solar_fv,1,130.68,263.36,0,Bujalance,Córdoba
14013,favorable_condicionada,solar_fv,4,363.3,1152.34,0,Cabra,Córdoba
14018,favorable_condicionada,solar_fv,1,130.68,263.36,0,El Carpio,Córdoba
14019,favorable_condicionada,solar_fv,1,188.0,521.32,0,Castro del Río,Córdoba
14021,desfavorable,solar_fv,1,100.0,201.18,0,Córdoba,Córdoba
14021,favorable_condicionada,solar_fv,1,130.68,263.36,0,Córdoba,Córdoba
14025,favorable_condicionada,solar_fv,1,188.0,521.32,0,Espejo,Córdoba
14030,favorable_condicionada,solar_fv,1,0.0,97.0,0,Fuente Palmera,Córdoba
14033,favorable_condicionada,solar_fv,1,0.0,97.0,0,Guadalcázar,Córdoba
14041,desfavorable,solar_fv,1,100.0,201.18,0,Montemayor,Córdoba
14041,favorable_condicionada,solar_fv,1,188.0,521.32,0,Montemayor,Córdoba
14043,favorable_condicionada,solar_fv,2,180.68,485.34998,0,Montoro,Córdoba
14066,favorable_condicionada,solar_fv,1,130.68,263.36,0,Villa del Río,Córdoba
18003,favorable_condicionada,solar_fv,1,125.0,227.97,0,Albolote,Granada
18022,favorable_condicionada,solar_fv,1,275.0,547.0,0,Atarfe,Granada
18023,favorable_condicionada,solar_fv,1,0.0,395.0,0,Baza,Granada
18034,favorable_condicionada,solar_fv,1,275.0,547.0,0,Cacín,Granada
18039,favorable_condicionada,solar_fv,1,0.0,395.0,0,Caniles,Granada
18048,favorable_condicionada,solar_fv,1,275.0,547.0,0,Cijuela,Granada
18061,favorable_condicionada,solar_fv,1,275.0,547.0,0,Chimeneas,Granada
18069,desfavorable,hibrida,1,88.24,75.8,25,Dólar,Granada
18074,desfavorable,hibrida,1,88.24,75.8,25,Ferreira,Granada
18089,desfavorable,hibrida,1,88.24,75.8,25,Guadix,Granada
18097,desfavorable,hibrida,1,88.24,75.8,25,Huéneja,Granada
18102,favorable_condicionada,solar_fv,1,275.0,547.0,0,Íllora,Granada
18105,favorable_condicionada,solar_fv,1,177.0,483.76,0,Iznalloz,Granada
18114,desfavorable,hibrida,1,88.24,75.8,25,La Calahorra,Granada
18115,favorable_condicionada,solar_fv,1,275.0,547.0,0,Láchar,Granada
18122,desfavorable,solar_fv,1,83.0,123.6,0,Loja,Granada
18132,favorable_condicionada,solar_fv,1,76.0,185.85,0,Moclín,Granada
18158,favorable_condicionada,solar_fv,1,275.0,547.0,0,Pinos Puente,Granada
18159,favorable_condicionada,solar_fv,1,177.0,483.76,0,Píñar,Granada
18185,favorable_condicionada,solar_fv,1,275.0,547.0,0,Ventas de Huelma,Granada
18907,desfavorable,hibrida,1,88.24,75.8,25,Valle del Zalabí,Granada
18914,favorable_condicionada,solar_fv,1,275.0,547.0,0,Valderrubio,Granada
21003,favorable_condicionada,hibrida,3,171.805,259.4984,72,El Almendro,Huelva
21006,favorable_condicionada,solar_fv,1,209.0,590.93,0,Alosno,Huelva
21010,favorable_condicionada,hibrida,1,48.0,98.2,48,Ayamonte,Huelva
21011,favorable_condicionada,solar_fv,1,51.0,97.11,0,Beas,Huelva
21023,favorable_condicionada,solar_fv,1,209.0,590.93,0,El Cerro de Andévalo,Huelva
21030,favorable_condicionada,solar_fv,1,100.0,204.0,0,Chucena,Huelva
21035,favorable_condicionada,solar_fv,2,391.496,1206.64,0,Gibraleón,Huelva
21050,favorable_condicionada,solar_fv,1,102.0,207.78,0,Moguer,Huelva
21055,favorable_condicionada,solar_fv,1,102.0,207.78,0,Palos de la Frontera,Huelva
21057,favorable_condicionada,solar_fv,1,180.0,269.0,0,Paymogo,Huelva
21058,favorable_condicionada,hibrida,2,83.479996,435.6,40,Puebla de Guzmán,Huelva
21058,favorable_condicionada,solar_fv,2,319.52002,657.75,0,Puebla de Guzmán,Huelva
21064,favorable_condicionada,solar_fv,1,102.0,207.78,0,San Juan del Puerto,Huelva
