province,month,verdict,project_count,mw_nominal
Almería,2019-02-01,desconocido,1,50.0
Almería,2022-10-01,favorable_condicionada,1,250.0
Almería,2023-01-01,desconocido,3,4.998
Almería,2023-01-01,favorable_condicionada,1,0.0
Almería,2023-02-01,favorable_condicionada,1,169.125
Almería,2023-03-01,desconocido,1,0.0
Almería,2023-05-01,desconocido,1,149.919
Almería,2023-06-01,desconocido,2,40.0
Almería,2023-10-01,desconocido,1,0.0
Almería,2024-04-01,desconocido,1,0.0
Almería,2024-09-01,desconocido,1,0.0
Almería,2024-09-01,favorable_condicionada,1,99.85
Almería,2025-05-01,desconocido,1,0.0
Almería,2025-12-01,en_consulta,1,8.4
Almería,2026-05-01,en_consulta,1,0.0
Almería,2026-07-01,desfavorable,2,73.6
Almería,2026-07-01,en_consulta,2,0.0
Cádiz,2019-08-01,favorable_condicionada,1,109.5039
Cádiz,2022-11-01,favorable_condicionada,1,0.0
Cádiz,2022-12-01,favorable_condicionada,1,48.66
Cádiz,2023-01-01,favorable_condicionada,3,24.0
Cádiz,2023-02-01,desconocido,1,0.0
Cádiz,2023-02-01,favorable_condicionada,8,90.0
Cádiz,2023-03-01,favorable_condicionada,3,23.0
Cádiz,2023-04-01,desfavorable,1,216.6
Cádiz,2023-04-01,en_consulta,1,0.0
Cádiz,2023-04-01,favorable_condicionada,1,0.0
Cádiz,2023-07-01,desfavorable,5,39.879997
Cádiz,2023-07-01,favorable_condicionada,1,0.0
Cádiz,2023-08-01,desfavorable,1,0.0
Cádiz,2023-09-01,desfavorable,3,25.12
Cádiz,2023-10-01,desfavorable,1,0.0
Cádiz,2023-11-01,en_consulta,1,219.0
Cádiz,2024-03-01,desfavorable,1,25.99
Cádiz,2024-08-01,favorable_condicionada,1,24.78
Cádiz,2024-09-01,favorable_condicionada,1,0.0
Cádiz,2024-10-01,desfavorable,1,250.0
Cádiz,2024-10-01,en_consulta,1,0.0
Cádiz,2024-10-01,favorable_condicionada,4,41.0
Cádiz,2024-11-01,favorable_condicionada,1,0.0
Cádiz,2024-12-01,favorable_condicionada,1,0.0
Cádiz,2025-01-01,desfavorable,1,0.0
Cádiz,2025-01-01,favorable_condicionada,4,9.98
Cádiz,2025-02-01,desfavorable,1,46.9
Cádiz,2025-04-01,desfavorable,2,0.0
Cádiz,2025-05-01,favorable_condicionada,1,10.0
Cádiz,2025-06-01,en_consulta,1,523.0
Cádiz,2025-06-01,favorable_condicionada,1,46.2
Cádiz,2025-07-01,en_consulta,2,484.3
Cádiz,2025-08-01,desfavorable,1,109.8
Cádiz,2025-11-01,desconocido,1,24.04
Cádiz,2026-01-01,en_consulta,1,39.6
Cádiz,2026-02-01,desfavorable,1,79.99
Cádiz,2026-04-01,en_consulta,1,15.0
Cádiz,2026-04-01,favorable_condicionada,1,8.5
Cádiz,2026-05-01,favorable_condicionada,1,47.7
Cádiz,2026-07-01,favorable_condicionada,3,17.0
Cádiz,2026-08-01,favorable_condicionada,1,2.5
Córdoba,2022-11-01,desconocido,3,76.0
Córdoba,2022-11-01,desfavorable,1,100.0
Córdoba,2022-11-01,favorable_condicionada,1,0.0
Córdoba,2022-12-01,favorable_condicionada,1,188.0
Córdoba,2023-02-01,desconocido,8,27.993
Córdoba,2023-02-01,favorable_condicionada,1,0.0
Córdoba,2023-03-01,desconocido,3,0.0
Córdoba,2023-03-01,en_consulta,1,0.2
Córdoba,2023-05-01,favorable_condicionada,1,49.99
Córdoba,2024-01-01,desconocido,1,0.0
Córdoba,2025-03-01,desconocido,1,0.0
Córdoba,2025-06-01,favorable_condicionada,1,50.0
Córdoba,2025-07-01,desconocido,2,0.0
Córdoba,2025-09-01,desconocido,1,0.0
Córdoba,2025-10-01,favorable_condicionada,2,95.0
Córdoba,2026-04-01,favorable_condicionada,1,80.3
Granada,2022-11-01,desconocido,1,22.0
Granada,2022-12-01,desconocido,2,0.0
Granada,2022-12-01,favorable_condicionada,1,177.0
Granada,2023-01-01,desfavorable,1,83.0
Granada,2023-01-01,favorable_condicionada,3,173.28
Granada,2023-02-01,desconocido,2,0.0
